"","sp","taxo","group_kernels","group_detection","group_atlas"
"324","American Bittern",2081,"shorebirds_waders","",""
"325","Least Bittern",2101,"shorebirds_waders","",""
"326","Great Blue Heron",2118,"shorebirds_waders","",""
"327","Great Blue Heron",2119,"shorebirds_waders","",""
"328","Great Blue Heron",2124,"shorebirds_waders","",""
"329","Gray Heron",2126,"shorebirds_waders","",""
"330","Gray Heron",2128,"shorebirds_waders","",""
"331","Great Egret",2144,"shorebirds_waders","",""
"332","Great Egret",2147,"shorebirds_waders","",""
"333","Ardea sp.",2149,"shorebirds_waders","",""
"334","Little Egret",2158,"shorebirds_waders","",""
"335","Little Egret",2160,"shorebirds_waders","",""
"336","Western Reef-Heron",2163,"shorebirds_waders","",""
"337","Western Reef-Heron",2164,"shorebirds_waders","",""
"338","Snowy Egret",2169,"shorebirds_waders","",""
"339","Little Blue Heron",2173,"shorebirds_waders","",""
"340","Tricolored Heron",2174,"shorebirds_waders","",""
"341","Reddish Egret",2177,"shorebirds_waders","",""
"342","Cattle Egret",2183,"shorebirds_waders","",""
"343","Cattle Egret",2184,"shorebirds_waders","",""
"344","white egret sp.",2187,"shorebirds_waders","",""
"345","Green Heron",2196,"shorebirds_waders","",""
"346","Green Heron",2197,"shorebirds_waders","",""
"347","Green Heron",2198,"shorebirds_waders","",""
"348","Black-crowned Night-Heron",2233,"shorebirds_waders","",""
"349","Black-crowned Night-Heron",2235,"shorebirds_waders","",""
"350","Yellow-crowned Night-Heron",2244,"shorebirds_waders","",""
"351","Yellow-crowned Night-Heron",2244.5,"shorebirds_waders","",""
"352","Black-crowned/Yellow-crowned Night-Heron",2251,"shorebirds_waders","",""
"353","heron sp.",2264,"shorebirds_waders","",""
"354","White Ibis",2265,"shorebirds_waders","",""
"355","Glossy Ibis",2268,"shorebirds_waders","",""
"356","White-faced Ibis",2270,"shorebirds_waders","",""
"357","Glossy/White-faced Ibis",2271,"shorebirds_waders","",""
"358","ibis sp.",2315.5,"shorebirds_waders","",""
"359","Roseate Spoonbill",2324,"shorebirds_waders","",""
"360","Black Vulture",2358,"raptors","",""
"361","Turkey Vulture",2362,"raptors","",""
"362","Turkey Vulture",2363,"raptors","",""
"363","Cathartes sp.",2371.5,"raptors","",""
"364","new world vulture sp.",2375,"raptors","",""
"365","Osprey",2376,"raptors","",""
"366","Osprey",2377,"raptors","",""
"367","Osprey",2378,"raptors","",""
"368","White-tailed Kite",2391,"raptors","",""
"369","Scissor-tailed Kite",2395,"raptors","",""
"370","Swallow-tailed Kite",2431,"raptors","",""
"371","Golden Eagle",2588,"raptors","",""
"372","Mississippi Kite",2634,"raptors","",""
"373","Northern Harrier",2655,"raptors","",""
"374","Northern Harrier",2657,"raptors","",""
"375","Sharp-shinned Hawk",2807,"raptors","",""
