"","sp","taxo","group_kernels","group_detection","group_atlas"
"1","Black-bellied Whistling-Duck",215,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"2","Black-bellied Whistling-Duck",215.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"3","Fulvous Whistling-Duck",217,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"4","whistling-duck sp.",223,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"5","Swan Goose",227,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"6","Swan Goose (Domestic type)",227.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"7","Taiga Bean-Goose",228,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"8","Tundra Bean-Goose",232,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"9","Taiga/Tundra Bean-Goose",235,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"10","Pink-footed Goose",236,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"11","Greater White-fronted Goose",237,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"12","Greater White-fronted Goose",238,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"13","Greater White-fronted Goose",239,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"14","Greater White-fronted Goose",240,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"15","Greater White-fronted Goose",243,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"16","Graylag Goose",248,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"17","Graylag Goose",249,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"18","Graylag Goose (Domestic type)",251,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"19","Swan x Graylag Goose (Domestic type) (hybrid)",251.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"20","Bar-headed Goose",252,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"21","Domestic goose sp. (Domestic type)",252.7,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"22","Anser sp.",252.9,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"23","Emperor Goose",253,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"24","Snow Goose",254,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"25","Greater White-fronted x Snow Goose (hybrid)",256.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"26","Ross's Goose",259,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"27","Snow x Ross's Goose (hybrid)",259.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"28","Snow/Ross's Goose",260,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"29","Brant",261,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"30","Brant",264,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"31","Brant",266,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"32","Brant",266.7,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"33","Barnacle Goose",268,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"34","Cackling Goose",271,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"35","Cackling Goose",272,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"36","Cackling Goose",273,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"37","Cackling Goose",274,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"38","Cackling Goose",276,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"39","Greater White-fronted x Cackling Goose (hybrid)",276.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"40","Canada Goose",277,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"41","Canada Goose",278,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"42","Canada Goose",281,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"43","Canada Goose",284,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"44","Canada Goose",287,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"45","Swan Goose (Domestic type) x Canada Goose (hybrid)",287.1,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"46","Greater White-fronted x Canada Goose (hybrid)",287.4,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"47","Graylag x Canada Goose (hybrid)",287.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"48","Graylag Goose (Domestic type) x Canada Goose (hybrid)",287.6,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"49","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)",287.65,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"50","Snow x Canada Goose (hybrid)",287.7,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"51","Barnacle x Canada Goose (hybrid)",287.9,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"52","Cackling/Canada Goose",288,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"53","Snow/Ross's x Cackling/Canada Goose (hybrid)",288.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"54","Red-breasted Goose",290,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"55","Branta sp.",291,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"56","goose sp.",292,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"57","Mute Swan",296,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"58","Black Swan",297,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"59","Trumpeter Swan",299,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"60","Mute x Trumpeter Swan (hybrid)",300,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"61","Tundra Swan",302,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"62","Tundra Swan",303,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"63","Tundra Swan",304,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"64","Trumpeter/Tundra Swan",305,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"65","Whooper Swan",306,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"66","swan sp.",307,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"67","Egyptian Goose",325,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"68","Ruddy Shelduck",326,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"69","South African Shelduck",327,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"70","Common Shelduck",330,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"71","Crested Duck",343,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"72","Muscovy Duck",347,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"73","Muscovy Duck",347.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"74","Muscovy Duck (Domestic type)",348,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"75","Ringed Teal",356,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"76","Wood Duck",357,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"77","Mandarin Duck",360,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"78","Gadwall",377,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"79","Gadwall",378,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"80","Falcated Duck",383,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"81","Eurasian Wigeon",384,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"82","American Wigeon",386,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"83","Gadwall x American Wigeon (hybrid)",386.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"84","Eurasian x American Wigeon (hybrid)",386.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"85","Eurasian/American Wigeon",388.7,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"86","Chiloe Wigeon",389,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"87","American Black Duck",390,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"88","Mallard",396,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"89","Mallard",397,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"90","Mallard",400,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"91","Mallard (Domestic type)",402,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"92","Muscovy Duck x Mallard (hybrid)",402.1,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"93","Gadwall x Mallard (hybrid)",402.4,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"94","American Wigeon x Mallard (hybrid)",402.8,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"95","American Black Duck x Mallard (hybrid)",402.9,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"96","American Black Duck/Mallard",403,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"97","Mottled Duck",409,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"98","Mallard x Mottled Duck (hybrid)",411.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"99","Blue-winged Teal",423,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"100","Cinnamon Teal",426,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"101","Blue-winged x Cinnamon Teal (hybrid)",432,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"102","Blue-winged/Cinnamon Teal",433,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"103","Northern Shoveler",439,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"104","Mallard x Northern Shoveler (hybrid)",439.4,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"105","Blue-winged Teal x Northern Shoveler (hybrid)",439.6,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"106","Cinnamon Teal x Northern Shoveler (hybrid)",439.8,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"107","White-cheeked Pintail",440,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"108","Northern Pintail",446,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"109","Gadwall x Northern Pintail (hybrid)",446.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"110","American Wigeon x Northern Pintail (hybrid)",446.6,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"111","Mallard x Northern Pintail (hybrid)",446.8,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"112","Garganey",460,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"113","Baikal Teal",461,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"114","Green-winged Teal",462,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"115","Green-winged Teal",463,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"116","Green-winged Teal",467,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"117","Green-winged Teal",467.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"118","American Wigeon x Green-winged Teal (hybrid)",467.6,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"119","Cinnamon x Green-winged Teal (hybrid)",467.93,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"120","Northern Pintail x Green-winged Teal (hybrid)",467.95,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"121","teal sp.",486,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"122","dabbling duck sp.",487,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"123","Marbled Teal",489,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"124","Red-crested Pochard",491,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"125","Canvasback",496,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"126","Redhead",497,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"127","Canvasback x Redhead (hybrid)",497.3,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"128","Common Pochard",498,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"129","Ring-necked Duck",499,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"130","Redhead x Ring-necked Duck (hybrid)",500,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"131","Tufted Duck",506,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"132","Ring-necked x Tufted Duck (hybrid)",506.5,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"133","Greater Scaup",508,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"134","Redhead x Greater Scaup (hybrid)",510.3,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"135","Ring-necked Duck x Greater Scaup (hybrid)",510.4,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"136","Tufted Duck x Greater Scaup (hybrid)",510.5,"waterfowl_diving","Waterfowl","Diving Waterfowl"
